시설구분,주소,위도,경도
유치원,서울특별시 강서구  마곡서로 33 (마곡동),37.557822,126.822611
유치원,서울특별시 강서구 강서로 216-23,37.54573377,126.837554
유치원,서울특별시 강서구 강서로15길 40 (화곡동),37.5323019,126.843815
유치원,서울특별시 강서구 강서로17길 130 (화곡동),37.532117,126.838533
초등학교,서울특별시 강서구 강서로31길 48 (화곡동),37.5401017,126.839074
초등학교,서울특별시 강서구 강서로45길 113 (내발산동),37.5503201,126.831027
초등학교,서울특별시 강서구 강서로46길 23 (내발산동),37.551248,126.8377005
유치원,서울특별시 강서구 강서로47길 126,37.5536597,126.8291829
어린이집,서울특별시 강서구 강서로56가길 55 (등촌동),37.562025,126.840249
초등학교,서울특별시 강서구 강서로56나길 140 (등촌동),37.5648029,126.8446617
초등학교,서울특별시 강서구 강서로56나길 34 (등촌동),37.5606951,126.8425361
유치원,서울특별시 강서구 곰달래로25길 4 (화곡동),37.530958,126.849217
초등학교,서울특별시 강서구 곰달래로31가길 27 (화곡동),37.5327032,126.8524559
유치원,서울특별시 강서구 곰달래로47길 88 (화곡동),37.5351277,126.855313
유치원,서울특별시 강서구 곰달래로49길 10 (화곡동),37.532147,126.85806
어린이집,서울특별시 강서구 곰달래로53길 30-20 (화곡동),37.533599,126.860173
유치원,서울특별시 강서구 곰달래로57길 39 (화곡동),37.533979,126.861588
초등학교,서울특별시 강서구 공항대로 491 (등촌동),37.553469,126.8621938
초등학교,서울특별시 강서구 공항대로36길 74 (내발산동),37.5557076,126.8361018
유치원,"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)",37.562539,126.8465439
초등학교,서울특별시 강서구 공항대로3길 18 (공항동),37.5627589,126.8110312
유치원,서울특별시 강서구 공항대로58가길 39 (등촌동),37.550429,126.8610512
초등학교,서울특별시 강서구 금낭화로 222 (방화동),37.5803891,126.8108471
어린이집,서울특별시 강서구 금낭화로11길 48 (방화동),37.569417,126.810033
유치원,서울특별시 강서구 금낭화로13길 47-9 (방화동),37.571228,126.808358
유치원,서울특별시 강서구 까치산로 116 (화곡동),37.5481774,126.8500391
초등학교,서울특별시 강서구 까치산로10길 70 (화곡동),37.5403602,126.847465
특수학교,서울특별시 강서구 까치산로22길 38 (화곡동),37.5481125,126.85254
유치원,서울특별시 강서구 까치산로2길 43 (화곡동),37.539273,126.843663
유치원,서울특별시 강서구 남부순환로11가길 89 (공항동),37.5576234,126.81324
어린이집,서울특별시 강서구 남부순환로7길 39 (공항동),37.558943,126.809662
초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동),37.5390734,126.8556963
유치원,서울특별시 강서구 등촌로35길 12 (등촌동),37.5420258,126.8616338
초등학교,서울특별시 강서구 등촌로39길 71 (등촌동),37.547477,126.8577618
초등학교,서울특별시 강서구 마곡서1로 68 (마곡동),37.5632004,126.821544
초등학교,서울특별시 강서구 방화대로34길 2 (방화동),37.5682828,126.8174657
초등학교,서울특별시 강서구 방화대로47길 43 (방화동),37.575537,126.814673
초등학교,서울특별시 강서구 방화대로50길 22 (방화동),37.5769308,126.818936
어린이집,서울특별시 강서구 방화대로5다길 22-12 (공항동),37.5555119,126.8146107
유치원,서울특별시 강서구 수명로1길 84 (내발산동),37.55277438,126.823844
초등학교,서울특별시 강서구 양천로 11 (방화동),37.5736852,126.8046641
초등학교,서울특별시 강서구 양천로 329 (가양동),37.5701684,126.8395913
초등학교,서울특별시 강서구 양천로 646-28 (염창동),37.5529744,126.8677461
유치원,서울특별시 강서구 양천로17길 4-55 (방화동),37.573989,126.8135129
유치원,서울특별시 강서구 양천로30길 4 (마곡동),37.5704783,126.822935
초등학교,서울특별시 강서구 양천로69길 49 (염창동),37.5548065,126.8712574
초등학교,서울특별시 강서구 양천로6길 92 (방화동),37.56870364,126.8074988
초등학교,서울특별시 강서구 양천로73길 17 (염창동),37.5521222,126.872373
어린이집,서울특별시 강서구 양천로75길 44 (염창동),37.551473,126.875539
어린이집,서울특별시 강서구 우장산로 45 (내발산동),37.554404,126.8421907
유치원,서울특별시 강서구 우현로 8,37.547055,126.844554
초등학교,서울특별시 강서구 월정로 176 (화곡동),37.5347268,126.8360595
초등학교,서울특별시 강서구 초록마을로 28 (화곡동),37.543208,126.8459269
초등학교,서울특별시 강서구 허준로 109 (가양동),37.566675,126.8521896
초등학교,서울특별시 강서구 허준로 186 (가양동),37.5617187,126.8586437
초등학교,서울특별시 강서구 허준로 221-22 (가양동),37.561171,126.8644193
유치원,"서울특별시 강서구 허준로 47 (가양동, 가양2단지아파트)",37.5703714,126.8474442
초등학교,서울특별시 강서구 화곡로 263 (화곡동),37.5492011,126.846004
유치원,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",37.5443631,126.8315655
어린이집,서울특별시 강서구 화곡로13길 66 (화곡동),37.5427125,126.8330272
유치원,서울특별시 강서구 화곡로52길 14 (화곡동),37.5500087,126.849063
초등학교,서울특별시 강서구 화곡로58길 86 (화곡동),37.551822,126.8549196
유치원,서울특별시 강서구 화곡로63가길 26 (등촌동),37.559692,126.847951
초등학교,서울특별시 강서구 화곡로65길 124 (등촌동),37.561389,126.8480367
초등학교,서울특별시 강서구 화곡로65길 90 (등촌동),37.5603228,126.8500834
유치원,서울특별시 강서구 화곡로66길 118 (등촌동),37.555424,126.859332
초등학교,서울특별시 강서구 화곡로69길 9 (등촌동),37.56080163,126.853766
유치원,서울특별시 강서구 화곡본동 까치산로4길 101-5,37.538834,126.847243
