사고유형구분,사고건수,위도,경도
보행어린이,5,37.53161252,126.8546391
보행어린이,4,37.54259048,126.846733
보행어린이,3,37.54102137,126.8399757
보행어린이,6,37.53368879,126.8374976
보행어린이,3,37.54796675,126.8347295
보행어린이,3,37.55361587,126.8260979
보행어린이,3,37.5499056,126.8235162
보행어린이,3,37.55477165,126.8376128
보행어린이,4,37.53545902,126.8551314
보행어린이,4,37.54689872,126.8453955
보행어린이,3,37.53335967,126.8481449
보행어린이,3,37.53447188,126.8550678
보행어린이,3,37.53497205,126.8560675
스쿨존어린이,2,37.5625949,126.8191729
스쿨존어린이,2,37.56876684,126.816924
스쿨존어린이,3,37.54862259,126.8466235
스쿨존어린이,2,37.53287247,126.8523234
스쿨존어린이,1,37.55658009,126.813376
