사고유형구분,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
보행어린이,5,5,0,1,4,0,37.53161252,126.8546391
보행어린이,4,4,0,2,1,1,37.54259048,126.846733
보행어린이,3,3,0,1,2,0,37.54102137,126.8399757
보행어린이,6,7,0,3,4,0,37.53368879,126.8374976
보행어린이,3,3,0,1,2,0,37.54796675,126.8347295
보행어린이,3,3,0,2,1,0,37.55361587,126.8260979
보행어린이,3,3,0,2,0,1,37.5499056,126.8235162
보행어린이,3,3,0,1,1,1,37.55477165,126.8376128
스쿨존어린이,2,2,0,0,2,0,37.5625949,126.8191729
스쿨존어린이,2,2,0,1,1,0,37.56876684,126.816924
보행어린이,4,5,0,3,2,0,37.53545902,126.8551314
스쿨존어린이,3,3,0,1,1,1,37.54862259,126.8466235
스쿨존어린이,2,2,0,0,1,1,37.53287247,126.8523234
스쿨존어린이,1,1,1,0,0,0,37.55658009,126.813376
보행어린이,4,4,0,1,2,1,37.54689872,126.8453955
보행어린이,3,3,0,2,1,0,37.53335967,126.8481449
보행어린이,3,3,0,0,2,1,37.53447188,126.8550678
보행어린이,3,3,0,0,3,0,37.53497205,126.8560675
